Usage_time,Battery,Temp1,Temp2,Temp3,LFoot_x,LFoot_y,LFoot_z,RFoot_x,RFoot_y,RFoot_z,LFootCOP_x,LFootCOP_y,RFootCOP_x,RFootCOP_y,LFootCOP_value,LFootCOP_vector_x,LFootCOP_vector_y,RFootCOP_value,RFootCOP_vector_x,RFootCOP_vector_y,LFoot_time_travel,RFoot_time_travel,LH_Abd_Temp,LH_Rot_Temp,LH_Flex_Temp,LK_Temp,LA_Lat_Temp,LA_Med_Temp,RH_Abd_Temp,RH_Rot_Temp,RH_Flex_Temp,RK_Temp,RA_Lat_Temp,RA_Med_Temp,LH_Abd_Amp,LH_Rot_Amp,LH_Flex_Amp,LK_Amp,LA_Lat_Amp,LA_Med_Amp,RH_Abd_Amp,RH_Rot_Amp,RH_Flex_Amp,RK_Amp,RA_Lat_Amp,RA_Med_Amp
00:00:06:130,96,21.0,5.0,22.0,11500.0,0.0,0.0,11600.0,0.0,0.0,-9.0,29.0,199.0,72.0,16.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,39.0,14.0,40.0,72.0,13.0,85.0,61.0,70.0,20.0,83.0,69.0,63.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:176,96,21.0,5.0,22.0,11700.0,0.0,0.0,11600.0,0.0,0.0,-9.0,29.0,232.0,72.0,0.0,30.0,30.0,25.0,30.0,-30.0,3.0,3.0,39.0,14.0,40.0,72.0,13.0,85.0,61.0,70.0,20.0,83.0,69.0,63.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:228,96,21.0,5.0,22.0,11700.0,0.0,0.0,11800.0,0.0,0.0,232.0,7.0,232.0,72.0,19.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,39.0,14.0,40.0,72.0,13.0,85.0,61.0,70.0,20.0,83.0,69.0,63.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:280,96,21.0,5.0,22.0,11900.0,0.0,0.0,11800.0,0.0,0.0,232.0,7.0,-37.0,-61.0,0.0,30.0,30.0,30.0,30.0,-30.0,3.0,3.0,39.0,14.0,40.0,72.0,13.0,85.0,61.0,70.0,20.0,83.0,69.0,63.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:332,96,21.0,5.0,22.0,11900.0,0.0,0.0,12000.0,0.0,0.0,42.0,-30.0,-37.0,-61.0,25.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,39.0,14.0,40.0,72.0,13.0,85.0,61.0,70.0,20.0,83.0,69.0,63.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:385,96,21.0,5.0,22.0,12100.0,0.0,0.0,12000.0,0.0,0.0,42.0,-30.0,-2.0,4.0,0.0,30.0,30.0,19.0,30.0,-30.0,3.0,3.0,39.0,14.0,40.0,72.0,13.0,85.0,61.0,70.0,20.0,83.0,69.0,63.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:437,96,21.0,5.0,22.0,12100.0,0.0,0.0,12200.0,0.0,0.0,90.0,64.0,-2.0,4.0,17.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,39.0,14.0,40.0,72.0,13.0,85.0,61.0,70.0,20.0,83.0,69.0,63.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:490,96,21.0,5.0,22.0,12300.0,0.0,0.0,12200.0,0.0,0.0,90.0,64.0,43.0,23.0,0.0,30.0,30.0,21.0,30.0,-30.0,3.0,3.0,39.0,14.0,40.0,72.0,13.0,85.0,61.0,70.0,20.0,83.0,69.0,63.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:535,96,54.0,1.0,39.0,12300.0,0.0,0.0,12200.0,0.0,0.0,90.0,64.0,43.0,23.0,0.0,30.0,30.0,21.0,30.0,-30.0,3.0,3.0,82.0,62.0,51.0,78.0,95.0,36.0,94.0,31.0,93.0,38.0,59.0,41.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:543,96,54.0,1.0,39.0,12300.0,0.0,0.0,12400.0,0.0,0.0,132.0,-75.0,43.0,23.0,25.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,82.0,62.0,51.0,78.0,95.0,36.0,94.0,31.0,93.0,38.0,59.0,41.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
